question_id,answer,grade
8,643م - 709م,2
8,القرن السابع,2
8,القرن الثالث,0
8,القرن السابع,2
8,القرن الخامس,0
8,من ٦٤٣م الى ٧١٥م,1
8,القرن الحادي عشر,0
8,فتح الإسلامي لبلاد المغرب وقع في القرن السابع الميلادي، بالضبط في سنة 647,2
8,القرن الخامس,0
8,القرن الحادي عشر,0
8,القرن السابع,2
8,633م,1
8,القرن الخامس,0
8,القرن الثالث,0
8,643م,2
8,القرن التاني عشر,0
8,القرن الرابع عشر,0
8,القرن الخامس,0
8,728م,1
8,665م,1
8,من 643م الى 709م,2
8,القرن الثالث,0
8,٦٤٣م,2
8,القرن الخامس,0
8,تم الفتح الإسلامي لبلاد المغرب في القرن السابع الميلادي، وتحديداً في العام 682 ميلادي، عندما قاد الصحابي عمر بن الخطاب الفتح الإسلامي لمدينة تطوان، التي كانت آنذاك تابعة للدولة البيزنطية.,1
8,تم الفتح الإسلامي لبلاد المغرب في القرن السابع الميلادي.,2
8,التالت,0
8,القرن الثاني عشر الهجري,2
8,القرن الرابع عشر,0
8,الفتح الإسلامي لبلاد المغرب حدث في القرن السابع، بالتحديد في عام 647 م,2
8,القرن الخامس,0
8,القرن 7 ميلادي,1
8,قرن رابع,0
8,في القرن السابع، عام 647 م، تم الفتح الإسلامي لبلاد المغرب,2
8,القرن الرابع,0
8,قرن تاني,0
8,قرن ٢٠,0
8,من ٦٤٣م الى ٧٠٩م,2
8,القرن العشرين,0
8,في القرن السابع الميلادي، تمت عملية الفتح الإسلامي لبلاد المغرب في عام 647 م,2
8,قرن رابع,0
8,قرن العشرين,0
8,تم الفتح الاسلامي لبلاد المغرب في القرن السابع، بالضبط عام ٦٤٧م.,2
8,في القرن السابع,2
8,السابع,2
8,القرن السابع,2
8,القرن الثالث,0
8,القرن السابع,2
8,القرن السابع,2
8, الفتح الإسلامي لبلاد المغرب حدث في العصور الوسطى,1
8,الفتح الإسلامي لبلاد المغرب قد حدث في الفترة بين القرن السابع والثامن أو التاسع الميلادي,1
8,القرن السادس والسابع,2
8,الفتح الإسلامي لبلاد المغرب في القرن الثامن الميلادي، بالتحديد في الثمانينات أو التسعينات من القرن الثامن,1
8,القرن السادس للميلاد,2
8,يُشير بعض المؤرخين إلى أن الفتح الإسلامي لبلاد المغرب قد حدث في القرن الثامن أو التاسع الميلادي,1
8,القرن الرابع,0
8,عملية الفتح الإسلامي لبلاد المغرب في الفترة الواقعة بين القرون السابع والثامن الميلاديين,1
8,القرن السابع الميلادي المبكر,2
8,الفتح الإسلامي لبلاد المغرب قد حدث في الفترة بين القرن السابع والتاسع الميلاديين,1
8,القرن الخامس عشر,0
8,من الممكن أن تكون الفترة المحتملة للفتح الإسلامي لبلاد المغرب في القرن السابع أو الثامن الميلادي,1
8,في عام 650م,1
8,في العام 647 م,2
8,في عام 640م,1
8,عام 620م,1
8,الرابع,0
8,القرن السادس ميلادي ,1
8,القرن 8م,1
8,القرن الخامس عشر,0
8,القرن السادس والسابع.,2
8,القرن الأول الهجري,2
8,القرن السادس عشر,0
8,في عام 645م,1
8,القرن السابع الميلادي,2
8,القرن السادس والسابع الميلاديين,2
8,قرن 3,0
8,سنة 620 ميلادي,1
8,القرن السابع الميلادي المتأخر,2
8,تم الفتح الإسلامي لبلاد المغرب في القرن السابع، عام 647 م,2
8,قرن تامن ميلادي,1
8,الفتح الإسلامي لبلاد المغرب وقع في القرن السابع، في عام 647 م,2
8,القرن التامن,0
8,في القرن السابع الميلادي، تمت الفتح الإسلامي لبلاد المغرب في عام 648 م,2
8,في عام 630 ميلادي,1
8,تمت عملية الفتح الإسلامي لبلاد المغرب في القرن السابع,2
8,بداية القرن التامن,1
