question_id,answer,grade
7,مطالبته باستقلال المغرب,1
7,الامتناع عن المصادقة على قرارات الاقامة العامة,2
7,خلافه مع رئيس فرنسا,0
7,رفضه الاستسلام للتدخل الفرنسي في الشؤون الداخلية للمغرب.,1
7,اتجاهه العلني نحو اتخاذ موقف مساند لسياسة حزب الاستقلال,2
7,رفضه قرارات السلطات الاستعمارية الفرنسية والتدخل في شؤون المغرب.,2
7,خلافه مع رئيس امريكا,0
7,اختار السلطان الامتناع عن توقيع الظهائر,2
7,الامتناع عن المصادقة على قرارات الإقامة العامة,2
7,مطالبته باستقلال المغرب,1
7,خلافه مع رئيس امريكا,0
7,خلافه مع رئيس فرنسا,0
7,خلافه مع الرئيس الامريكي اوباما,0
7,اتجاهه العلني نحو اتخاذ موقف مساند لسياسة حزب الاستقلال,2
7,مطالبته باستقلال المغرب,1
7,اختار السلطان الامتناع عن توقيع الظهائر,2
7,مطالبته باستقلال المغرب,1
7,خلافه مع رئيس تركيا,0
7,امتناعه عن توقيع الظهائر.,2
7,الخلاف الذي كان بينه و بين الرئيس الفرنسي,0
7,بعد رفض جلالة السلطان سيدي محمد بن يوسف للإصلاحات المزعومة التي باشرتها سلطات الحماية وعلى إثر فشل المفاوضات مع المسؤولين الفرنسيين، لم يبق أمام السلطان إلا العمل على إعلان معارضته للتوجهات الفرنسية بقيامه بسن سياسة رفض التوقيع على الظهائر.,2
7,خلافه مع رئيس فرنسا,0
7,لا اعلم,0
7,الامتناع عن المصادقة على قرارات الإقامة العامة,2
7,الامتناع عن المصادقة على قرارات الإقامة العامة,2
7,اتجاه الملك محمد الخامس العلني نحو اتخاذ موقف مساند الحماية الفرنسية,0
7,ست,0
7,الامتناع عن المصادقة على قرارات الإقامة العامة,2
7,محمد الخامس كان سلطان المغرب منذ عام 1927 حتى وفاته في عام 1961. وقد تم نفيه من قبل السلطات الفرنسية في عام 1953، وذلك بعد أن قاد مظاهرة في مدينة مراكش تطالب بالاستقلال التام للمغرب.,1
7,دعوته للتصعيد السلمي والاحتجاجات ضد الاستعمار الفرنسي في المغرب.,2
7,مواقفه الداعمة للاستقلال المغربي ومحاولاته لتحقيق الاستقلال عن الحكم الفرنسي، كما كان يتبنى مواقف داعمة للحركات الوطنية العربية والإسلامية في مختلف أنحاء المنطقة، مما جعله يشكل تهديدًا للمصالح الفرنسية في المنطقة.,1
7,اتخاذه موقف مساند للحماية الفرنسية,0
7,محاولته بناء علاقات دبلوماسية مستقلة مع الدول الأخرى خارج نفوذ فرنسا.,1
7,رفضه التعاون الكامل مع السلطات الفرنسية ورفض القوانين والسياسات الاستعمارية.,2
7,اتجاه الملك محمد الخامس العلني نحو اتخاذ موقف مساند الحماية الفرنسية,0
7,لم يتم نفي الملك محمد الخامس من طرف السلطات الفرنسية.,0
7,رفض السلطان محمد بن يوسف للإصلاحات المزعومة التي باشرتها سلطات الحماية.,1
