question_id,answer,grade
10,2000,0
10,1883,0
10,1915م,2
10,1900م,1
10,1920م,1
10,1895م,1
10,1905م,1
10,1930م,1
10,1999,0
10,9,0
10,تم اعتماد علم بلاد المغرب بشكل رسمي في الأول من نونبر عام 1915م.,2
10,3,0
10,1900م,1
10,1915م,2
10,١٩١٥م,2
10,بداية القرن العشرين,1
10,1835م,0
10,تم اعتماد علم بلاد المغرب بشكل رسمي في عام 1970، وهو يتألف من اللون الأحمر والخط الأخضر والنجمة الخضراء في المنتصف.,0
10,١٩٠٣م,1
10,1920م,1
10,١٩١٥م,2
10,1915م,2
10,1825م,0
10,1865م,0
10,1,0
10,2003,0
10,2009,0
10,2001,0
10,سنة 2020م,0
10,سنة ١٩١٥م,2
10,عام ١٩١٥ ميلادية,2
10,عام 1883م,0
10,عام ٢٠٠٥م,0
10,سنة ١٨٩٥م,1
10,عام ١٩٠٢م,1
10,١٩١٥م,2
10,١٨٩٥م,0
10,1735م,0
10,قبل 100 عام  ,1
10,سنة 2020,0
10,١٩٠٠م,1
10,اعتمد علم بلاد المغرب بشكل رسمي سنة ١٩١٥م.,2
10,سنة 2002م,0
10,اعتمد علم بلاد المغرب سنة ١٩١٥م,2
10,عام ٢٠٠٢م,0
10,١٩١٥م,2
10,1915,2
10,اعتمد علم بلاد المغرب بشكل رسمي عام ١٩١٥م,2
10,بعد الاستقلال ,0
10,قبل الاستعمار بسنتين,0
10,يلتخم,0
10,بعد الاستعمار بتلات سنوات,2
10,مطلع القرن العشرين بالضبط 1915 ميلادي,2
10,قبل الاستقلال في القرن العشرين.,1
10,تم اعتماد علم بلاد المغرب بشكل رسمي في عام 1915م,2
10,بعد الاستعمار بسنتين، في عام 1915م,2
10,تم اعتماد علم بلاد المغرب بشكل رسمي في العام 1915م، وألوان العلم الوطني هي الأخضر والأحمر مع وجود نجمة خضراء في الوسط,2
10,1865م,0
10,تم اعتماد العلم المغربي رسميًا في عام 1915م بموجب مرسوم ملكي صدر عن السلطان مولاي يوسف، الذي كان حاكم المغرب في ذلك الوقت,2
10,تم اعتماد العلم المغربي بشكل رسمي في 17 نوفمبر 1915م، وذلك بعد صدور مرسوم ملكي من السلطان مولاي يوسف,2
10,في القرن العشري,1
10,بعد تأسيس الحكومة المغربية المستقلة مطلع القرن العشرين,1
10,مع بداية القرن العشرين,1
10,تم رفع علم بلاد المغرب لأول مرة في المنظمات الدولية والمؤتمرات الدولية في عام 1915م,2
10,بداية القرن العشرين شهدت توحيد العلم المغربي كرمز للوطن,1
10,تم اعتماد علم بلاد المغرب رسمياً في عام 1915م,2
10,تأسس العلم المغربي كرمز وطني في عشرينات القرن العشرين,1
10,تم رفع العلم المغربي للمرة الأولى في العام 1915م خلال حفل رسمي حضره العديد من الشخصيات,2
10,تم تدشين العلم المغربي كرمز وطني في عام 1920م,1
10,بعد الاستعمار ببضع سنوات ,1
10,سنة ١٨٧٩م,0
10,عام 1913 ميلادي,1
10,9,0
10,تاريخ 17 نوفمبر 1919م شهد تبني العلم المغربي كرمز رسمي للبلاد,1
10,نهاية القرن العشري,0
