question_id,answer,grade
4,الدين ، محاربة الفتنة والفساد ، القضاء على البدع ودول الخوارج و الشيعة,2
4,الفتح الاسلامي,1
4,ساعدت العوامل الدينية والعسكرية في نمو المرابطين، حيث كانوا ينتمون إلى الصوفية القادرية وكانوا يعتبرون أنفسهم حماة للإسلام والمسلمين.,2
4,كانوا يتمتعون بالقوة العسكرية الكبيرة والقدرة على السيطرة على المنطقة.,2
4,التوغل في إفريقيا,1
4,التوغل فيريقيا,0
4,التوغل في الاندلس,0
4,التوغل في اوروبا,0
4,كانوا يتمتعون بالقوة العسكرية الكبيرة والقدرة على السيطرة على المنطقة.,2
4,السيطرة على التجارة بفضل تحالفاتهم مع القبائل البربرية الأخرى في إفريقيا,2
4,السيطرة على التجارة بفضل تحالفاتهم مع القبائل البربرية الأخرى في اوروبا,1
4,ساعدت العوامل الدينية والعسكرية في نمو المرابطين، حيث كانوا ينتمون إلى الصوفية القادرية وكانوا يعتبرون أنفسهم حماة للإسلام والمسلمين.,2
4,السيطرة على التجارة بفضل تحالفاتهم مع القبائل البربرية الأخرى في إفريقيا,2
4,التوغل في تونس,0
4,السيطرة على التجارة بفضل تحالفاتهم مع القبائل البربرية الأخرى في اوروبا,1
4,التوغل في اوروبا,0
4,السيطرة على التجارة بفضل تحالفاتهم مع القبائل البربرية الأخرى في اوروبا,1
4,التوغل في اوروبا,0
4,كانوا يتمتعون بالقوة العسكرية الكبيرة والقدرة على السيطرة على المنطقة.,2
4,التوغل في إفريقيا,1
4,"1- التوحيد الديني
2- الجهاد في سبيل الله
3- القوة العسكرية",2
4,الدعم اللوجستي المقدم من دول الجوار,1
4,الدعم العسكري الذي قدمته بعض الدول للمرابطين.,1
4,"الوضع السياسي والاجتماعي الصعب في شمال إفريقيا وجنوب الأندلس بدايةً من القرن الحادي عشر.
الدعم الذي حصلت عليه حركة المرابطين من العلماء والأئمة الدينيين في المنطقة.",2
4,استخدام المرابطين للعنف والإرهاب في تحقيق أهدافهم.,0
4,الدعوة,1
4,العوامل الدينية والمذهبية التي دفعت بعض الأفراد إلى الانضمام للمرابطين لأسباب غير سياسية,0
4,"الجاهزية العسكرية العالية لحركة المرابطين وقدرتها على تحمل الصعوبات والمعارك الطويلة.
الدعم الذي حصلت عليه حركة المرابطين من بعض الدول الغربية.",1
4,الخبرة الكبيرة التي يتمتع بها المرابطون في القتال في الصحراء,2
4,تأثير الأزمات الاقتصادية على الصراع في المنطقة,0
4,لا اعلم,0
4,التأثيرات الثقافية والفنية العالمية التي دفعت الشباب للاهتمام بالمجال العسكري,0
4,"لاستراتيجية العسكرية التي استخدمها المرابطون.
القدرة العالية على التكيف مع الظروف الصعبة في الصحراء.",2
4,.,0
4,الخبرة في القتال,1
4,التغير المناخي و تاتيره على الصحراء,0
4,تاتير الأزمات السياسية في المنطقة,0
4,التحالفات العسكرية,1
4,الدعم العسكري من الحلفاء و القوة العسكرية التي تمتلكها المرابطون مسبقا,1
4,اعتناء المرابطون بالفلاحة و الزراعة و السعي للتطوير,2
4,المرابطون كانوا من أغنى القبائل الصحراوية,1
4,الظروف الإستعمارية و الاقتصادية الصعبة التي واجهت المنطقة في تلك الفترة,1
4,النضال ضد الغزو البرتغالي الاسباني للمغرب,2
4,الدعم الدي حصل عليه من الدول الإسلامية الأخرى,2
4,القدرة على تجنيد الرجال الدين كانو يرغبون في القتال في سبيل الله,1
4,التحالفات السياسية التي شكلوها مع قبائل المنطقة,2
4,الدعم من الحكومة المغربية,0
4,الفكرالقومي الدي روحوا له,0
4,القدرة على تجنيد النساء و الرجال معا,1
4,انتشار الأخبار الكاذبة والتضليل الإعلامي الذي جذب الناس للانضمام للمرابطين,0
4,النظام العادل الدي عرفوا به,1
4,تغير المناخ في المغرب,0
4,النقص في الموارد الطبيعية في المناطق الأخرى مما دفع الناس إلى الالتحاق بالمرابطين,0
4,الازدهار الاقتصادي الذي أدى إلى توفر فرص عمل وتحسن المستوى المعيشي,0
4,السيطرة على التجارة بفضل تحالفاتهم مع القبائل البربرية الأخرى في إفريقيا,2
4,الضغوط الاجتماعية والنفسية التي تعرض لها الشباب وجعلتهم يبحثون عن الهروب والانتماء لجماعات متطرفة,0
4,اسلايباه,0
4,تلقى المرابطون دعمًا ماديًا وعسكريًا من الجهات الداعمة، مما ساعد في تطوير وتوسيع قدراتهم وزيادة قوتهم,2
4,تأثير التجارة غير الشرعية والتهريب على الاقتصاد المحلي وتوجيه بعض الشباب للعمل مع المرابطين,0
4,توفر الاستقرار السياسي في المغرب ساحة مناسبة لنمو المرابطين، حيث يشعرون بالأمان والثقة في بيئة تسهل نشاطاتهم,2
4,تمتع المرابطون بتماسك اجتماعي قوي وروح تعاونية بين أفرادهم، مما ساهم في تعزيز قدرتهم على مواجهة التحديات والنمو بشكل مستدام,2
4,الصعوبات الاقتصادية والبطالة التي جعلت الشباب يبحثون عن فرص عمل واستقرار مالي,0
4,تأثير الدعاية والترويج الناجح الذي زاد من شعبية المرابطين وجذب المزيد من الأفراد,1
4,استخدام التكنولوجيا والتطور العسكري في أنشطة المرابطين ساعد في تحسين كفاءتهم وفعاليتهم في التعامل مع التهديدات,2
4,وجود قيادة فعالة ومؤهلة للمرابطين ساهم في تحقيق نجاحات وتقدم مستمر في أنشطتهم واستراتيجياتهم,2
4,التغير في السياسات الحكومية التي دعمت نمو المرابطين في المغرب,1
4,تمتع المرابطون بدعم وتأييد الشعب المغربي، مما ساهم في تعزيز مكانتهم وتأثيرهم وتعاطف الناس معهم,2
4,تمكن المرابطون من الاندماج في المجتمع المغربي وبناء علاقات قوية مع السكان المحليين، مما ساعد في تحقيق التعاون والتفاهم في المناطق التي ينشطون فيها,2
4,تأثر الشباب بالأفلام والألعاب العسكرية التي زادت رغبتهم في الانضمام للمرابطين,0
4,الرؤية الاستراتيجية توفرت للمرابطين,2
4,الظروف الاجتماعية والاقتصادية الصعبة التي دفعت الكثير من الشباب إلى الانضمام للمرابطين,1
